name,town,address,lat,lon,url,phone,email,hours,website,details_source
"Dutch Pantry Family Restaurant","DuBois, PA","2044 Rich Highway",41.1192,-78.76,"https://www.google.com/maps/place/Dutch+Pantry+Family+Restaurant/data=!4m2!3m1!1s0x89ccf170c22ea8a5:0x35ebc520447a1c4","814-371-6987","","Mon–Thu & Sun 7am–8pm; Fri–Sat 7am–9pm","https://www.facebook.com/DutchPantryFamilyRestaurant/","https://www.menuguide.com/PA/DuBois/Dutch-Pantry"
"Dutch Pantry Family Restaurant","Clearfield, PA","14680 Clearfield Shawville Highway",41.0273,-78.4392,"https://www.google.com/maps/place/Dutch+Pantry+Family+Restaurant/data=!4m2!3m1!1s0x89cc423cee5ed1a5:0xfd2da0fe8b239e75","814-765-2137","dutchpantry78@gmail.com","Daily 7am–8pm","","https://www.visitclearfieldcounty.org/poi/49"
"Shady Acres Farm Market","Elizabethtown, PA","8514 Elizabethtown Road",40.154,-76.687,"https://www.google.com/maps/place/Shady+Acres+Farm+Market/data=!4m2!3m1!1s0x89c8a1f8d9e9e2c5:0xda24490fb6746a27","717-361-1640","","Mon–Fri 8am–6pm; Sat 8am–4pm; Sun closed","https://shadyacresmarket.com/","https://reallancastercounty.com/shady-acres-farm-market/"
"Amish Farmers Market","Laurel, MD","9701 Fort Meade Road",39.098,-76.843,"https://www.google.com/maps/place/Amish+Farmers+Market/data=!4m2!3m1!1s0x89b62d2c81f020ad:0x30b9baeb4c713db","301-421-1454","","Thu 9am–6pm; Fri 8:30am–6pm; Sat 8am–3pm","https://www.laureldutchmarket.com/","https://www.laureldutchmarket.com/contact"
"Bird-in-Hand Bakery & Cafe","Bird-in-Hand, PA","2715 Old Philadelphia Pike",40.0389,-76.177,"https://www.google.com/maps/place/Bird-in-Hand+Bakery+%26+Cafe/data=!4m2!3m1!1s0x89c63957d871cda7:0x90fdf80d51c7520c","717-768-1501","SmuckerFamily@Bird-in-Hand.com","Mon–Sat 6am–5:30pm; Sun closed","https://bird-in-hand.com/bakery-cafe/","https://bird-in-hand.com/bakery-cafe/"
"Amish Store 31","Ronks, PA","Stumptown Road",40.026,-76.181,"https://www.google.com/maps/place/Amish+Store+31/data=!4m2!3m1!1s0x89c63e93398a3e0b:0x176d891ee1f30625","717-656-9206","","Mon–Sat 8am–5pm; Sun closed","","https://www.loc8nearme.com/pennsylvania/ronks/amish-store-31/2472942/"
"The Markets at Shrewsbury","Glen Rock, PA","12025 Susquehanna Trail South",39.806,-76.731,"https://www.google.com/maps/place/The+Markets+at+Shrewsbury/data=!4m2!3m1!1s0x89c8630c74de3dd3:0x39eeafb738c80196","717-235-6611","info@marketsatshrewsbury.com","Thu 9am–5pm; Fri 9am–6pm; Sat 8am–4pm","https://www.marketsatshrewsbury.com/","https://www.marketsatshrewsbury.com/contact"
"Weaver's Market & Bakery","Port Trevorton, PA","8160 South Susquehanna Trail",40.6638,-76.9165,"https://www.google.com/maps/place/Weaver's+Market+%26+Bakery/data=!4m2!3m1!1s0x89cf372d6bdaf8ad:0x2b01b6882f32167e","570-374-1044","","Mon–Sat 7am–5pm; Sun closed","","https://amishcountryfinder.org/businesses/weaver-s-market-bakery-port-trevorton-pa"
"Beeman's Baked Goods","Carlisle, PA","51 South Orange Street",40.199,-77.189,"https://www.google.com/maps/place/Beeman's+Baked+Goods/data=!4m2!3m1!1s0x89c91e323ab7aa6d:0x418e4c6980b19e16","717-218-5258","","Tue–Fri 8am–4pm; Sat 8am–2pm; Sun–Mon closed","https://beemansbakedgoods.com/","https://beemansbakedgoods.com/contact-us/"
"Countryside Roadstand","Ronks, PA","2966 Stumptown Road",40.028,-76.176,"https://www.google.com/maps/place/Countryside+Roadstand/data=!4m2!3m1!1s0x89c63e9330f12dad:0x1f75b44b0e1e8baf","717-656-9206","","Mon–Sat 8am–5:30pm; Sun closed","","https://lancasterpa.com/countryside-road-stand/"
"Achenbach's Pastries, Inc","Leola, PA","375 East Main Street",40.0931,-76.1467,"https://www.google.com/maps/place/Achenbach's+Pastries,+Inc/data=!4m2!3m1!1s0x89c63e5b2aa0984d:0x1428bf25c047bd21","717-656-6671","bakery@achenbachs.com","Mon–Fri 5:30am–5pm; Sat 5:30am–3pm; Sun closed","https://www.achenbachs.com/","https://www.achenbachs.com/contact-us"
"Lancaster Central Market","Lancaster, PA","23 North Market Street",40.0398,-76.3067,"https://www.google.com/maps/place/Lancaster+Central+Market/data=!4m2!3m1!1s0x89c624f26dac0c0b:0x73d0a19351b249f","717-735-6890","","Tue, Fri & Sat 6am–3pm","https://centralmarketlancaster.com/","https://centralmarketlancaster.com/"
"Miller's Smorgasbord Restaurant","Ronks, PA","2811 Lincoln Highway East",40.006,-76.164,"https://www.google.com/maps/place/Miller's+Smorgasbord+Restaurant/data=!4m2!3m1!1s0x89c6396e58b40e11:0x37eb25100de81e75","717-687-6621","","Mon–Sat 11:30am–8pm; Sun 11am–8pm (seasonal)","https://www.millerssmorgasbord.com/","https://www.millerssmorgasbord.com/information/"
"Granny's Discount Groceries","Lancaster, PA","2293 New Danville Pike",39.9608,-76.3222,"https://www.google.com/maps/place/Granny's+Discount+Groceries/data=!4m2!3m1!1s0x89c62f0b763ca76f:0x2721b0e15fcf6b81","717-872-7562","","Mon–Wed & Fri 8am–6pm; Thu & Sat 8am–5pm; Sun closed","","https://wanderlog.com/place/details/1647743/grannys-discount-groceries"
"Dutch Haven Shoo-Fly Pie Bakery","Ronks, PA","2857A Lincoln Highway East",40.005,-76.158,"https://www.google.com/maps/place/Dutch+Haven+Shoo-Fly+Pie+Bakery/data=!4m2!3m1!1s0x89c6396dabf9ff85:0x7680dacbc65bced1","717-687-0111","","Mon–Tue & Thu 10am–6pm; Wed closed; Fri 10am–7pm; Sat 9am–7pm; Sun 9am–6pm","https://www.dutchhaven.com/","https://www.dutchhaven.com/contact-us/"
"Bird in Hand Bakeshop","Bird-in-Hand, PA","542 Gibbons Road",40.03,-76.185,"https://www.google.com/maps/place/Bird+in+Hand+Bakeshop/data=!4m2!3m1!1s0x89c63c047a6a8ab1:0xbfa150d212d3dc4e","717-656-7947","","Mar–Dec Mon–Sat 8am–5pm; Jan–Feb until 4pm; Sun closed","https://bihbakeshop.com/","https://bihbakeshop.com/"
